User_Id,Search_Query,Search_Timestamp,Implied_Place_Id
1,Air Terjun Kali Pancur reviews,2024-12-26 02:25:13,360.0
1,Top rated taman hiburan,2025-01-21 05:48:13,19.0
1,Puncak Kebun Buah Mangunan entrance fee,2024-10-13 08:40:13,133.0
1,Museum Fatahillah entrance fee,2024-09-27 14:12:13,
1,How to get to De Mata Museum Jogja,2025-01-14 06:59:13,89.0
1,Top rated taman hiburan,2024-07-03 18:23:13,290.0
1,Jakarta tourist attractions,2024-12-12 07:47:13,137.0
1,Best bahari,2025-03-30 17:12:13,
1,Top rated pusat perbelanjaan,2024-09-17 10:07:13,
2,Jembatan Biru Ambarawa reviews,2024-10-08 06:05:13,378.0
2,How to get to Museum Tekstil,2024-09-09 09:50:13,60.0
2,Best tempat ibadah,2024-09-23 17:26:13,52.0
2,cagar alam near me,2024-09-07 13:40:13,79.0
2,Best budaya,2024-07-08 23:18:13,
2,Air Terjun Kali Pancur reviews,2024-12-25 07:14:13,360.0
2,Top rated bahari,2025-03-04 12:13:13,4.0
2,Taman Suropati reviews,2025-01-29 23:13:13,33.0
2,How to get to Wisata Kraton Jogja,2024-08-25 11:03:13,150.0
2,Photos of Taman Hutan Raya Ir. H. Djuanda,2025-04-11 15:25:13,
2,How to get to Pulau Semak Daun,2024-09-07 05:32:13,46.0
2,Is Taman Lansia kid-friendly?,2024-07-18 22:05:13,251.0
2,Is Gembira Loka Zoo kid-friendly?,2024-04-23 09:35:13,
2,Orchid Forest Cikole reviews,2024-06-24 23:40:13,
3,Photos of Ekowisata Mangrove Wonorejo,2025-01-03 16:30:13,392.0
3,Semarang tourist attractions,2025-01-20 04:28:13,17.0
3,Things to do in Surabaya,2024-07-14 01:32:13,
3,Museum Sonobudoyo Unit I entrance fee,2024-09-24 00:51:13,118.0
3,Jakarta tourist attractions,2025-03-03 05:54:13,
3,Top rated taman hiburan,2024-06-04 08:10:13,185.0
3,Geoforest Watu Payung Turunan reviews,2024-08-30 23:28:13,167.0
4,tempat ibadah near me,2024-07-30 11:48:13,249.0
4,Is Desa Wisata Kelor kid-friendly?,2024-06-14 17:58:13,
